ID,prior_gpa,test_score,attendance_rate,assignment_rate,risk_level,at_risk,risk_label,attendance_band,gpa_band,meets_70_rule,dataset
608,2.49,26,74,87,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
609,3.56,18,97,82,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
610,3.53,26,98,58,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
611,3.9,22,87,93,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
612,3.19,21,86,97,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
613,3.0,25,95,56,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
614,2.7,19,62,59,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
615,3.85,26,74,99,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
616,3.86,24,61,91,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
617,3.68,24,89,59,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
618,3.3,20,67,82,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
619,2.83,23,71,82,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
620,3.57,29,97,81,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
621,2.9,20,68,63,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
622,2.93,22,62,89,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
623,2.54,20,60,65,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
624,3.35,25,98,90,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
625,3.26,23,67,54,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
626,3.27,29,92,76,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
627,3.2,22,64,67,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
628,3.81,29,74,93,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
629,3.06,19,97,56,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
630,2.34,29,95,85,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
631,3.06,18,71,83,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
632,3.95,25,97,52,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
633,3.94,21,72,69,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
634,2.82,19,60,79,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
635,2.26,27,68,55,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
636,3.21,27,93,52,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
637,3.89,20,88,93,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
638,3.45,19,97,77,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
639,3.67,23,67,72,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
640,3.53,28,70,65,High,1,At risk,50-70%,Above 3.5,Eligible,A (primary)
641,2.19,25,76,55,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
642,2.27,25,82,85,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
643,3.46,28,85,60,Low,0,Not at risk,70-85%,2.5-3.5,Eligible,A (primary)
644,3.21,20,86,70,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
645,3.23,19,98,93,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
646,3.05,24,65,69,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
647,2.44,21,81,89,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
648,2.83,21,66,67,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
649,2.44,22,67,85,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
650,3.19,23,98,98,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
651,2.12,25,93,95,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
652,2.43,22,69,80,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
653,3.28,18,88,62,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
654,2.36,19,93,92,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
655,3.58,21,94,50,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
656,2.4,29,68,84,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
657,2.36,25,74,63,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
658,2.41,25,79,73,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
659,3.45,30,61,91,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
660,2.28,26,84,97,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
661,3.5,23,72,54,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
662,2.78,20,73,93,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
663,3.0,27,94,78,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
664,3.52,20,67,54,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
665,3.36,23,96,92,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
666,3.57,22,68,62,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
667,2.18,21,85,64,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
668,3.64,26,61,65,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
669,3.62,23,63,75,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
670,3.9,27,66,100,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
671,3.36,18,100,78,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
672,3.56,19,92,68,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
673,3.5,30,98,95,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
674,3.76,23,95,54,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
675,2.32,22,97,52,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
676,2.31,22,81,66,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
677,3.51,21,85,73,Low,0,Not at risk,70-85%,Above 3.5,Eligible,A (primary)
678,2.79,29,73,53,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
679,2.83,24,62,72,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
680,3.25,23,63,76,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
681,2.43,21,79,93,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
682,3.18,19,96,62,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
683,3.88,24,73,96,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
684,2.36,29,77,93,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
685,3.58,19,100,84,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
686,3.45,21,65,98,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
687,3.28,22,88,65,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
688,3.43,21,71,62,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
689,2.53,29,70,56,High,1,At risk,50-70%,2.5-3.5,Eligible,A (primary)
690,3.1,18,96,77,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
691,2.4,20,81,64,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
692,3.87,27,92,73,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
693,3.9,22,73,74,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
694,3.51,23,93,51,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
695,3.47,20,90,64,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
696,3.63,30,74,90,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
697,3.09,21,71,79,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
698,3.25,20,92,51,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
699,3.82,25,99,90,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
700,3.62,30,96,85,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
701,3.16,20,71,85,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
702,3.92,27,92,72,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
703,2.83,29,67,83,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
704,3.52,18,74,79,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
705,3.91,27,99,61,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
706,3.46,18,96,83,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
707,3.47,27,96,68,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
708,3.71,28,66,82,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
709,3.55,24,98,72,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
710,2.26,24,65,85,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
711,3.93,25,91,56,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
712,3.26,29,92,95,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
713,3.66,22,97,87,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
714,2.12,23,100,78,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
715,3.45,24,86,65,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
716,2.21,22,73,75,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
717,3.59,28,73,77,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
718,2.17,22,96,65,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
719,3.42,22,66,76,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
720,3.26,30,92,95,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
721,2.2,28,71,76,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
722,2.03,26,77,85,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
723,3.4,19,73,94,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
724,3.88,23,73,78,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
725,3.39,19,97,76,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
726,3.01,23,71,60,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
727,2.22,20,93,83,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
728,3.37,29,86,51,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
729,2.01,23,98,65,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
730,3.47,24,97,70,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
731,3.51,29,88,63,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
732,3.19,29,66,63,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
733,3.18,26,95,72,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
734,3.23,29,87,64,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
735,3.5,30,97,91,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
736,3.14,25,71,85,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
737,2.14,30,80,84,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
738,2.33,26,63,66,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
739,3.08,30,89,76,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
740,3.57,30,90,57,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
741,2.74,19,68,54,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
742,3.33,30,92,89,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
743,3.32,27,68,72,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
744,2.12,24,99,86,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
745,3.27,22,100,87,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
746,3.35,23,96,91,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
747,3.1,22,99,86,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
748,3.54,21,91,86,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
749,3.98,28,65,88,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
750,3.16,24,95,82,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
751,3.64,18,73,90,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
752,3.07,21,98,68,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
753,2.38,19,61,94,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
754,2.75,28,70,52,High,1,At risk,50-70%,2.5-3.5,Eligible,A (primary)
755,2.09,28,68,77,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
756,2.3,23,73,87,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
757,2.64,20,61,73,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
758,3.03,23,86,56,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
759,2.1,24,91,56,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
760,3.94,19,90,60,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
761,3.07,21,99,58,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
762,3.66,19,91,86,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
763,3.59,18,63,75,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
764,3.48,20,90,65,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
765,3.78,27,71,81,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
766,3.02,18,95,93,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
767,3.73,23,90,60,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
768,3.43,24,87,92,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
769,3.91,19,87,81,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
770,2.05,21,80,96,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
771,3.73,20,92,96,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
772,3.81,21,73,69,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
773,3.43,26,67,52,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
774,3.67,23,86,88,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
775,3.82,19,85,55,Low,0,Not at risk,70-85%,Above 3.5,Eligible,A (primary)
776,2.31,28,93,78,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
777,3.43,25,61,99,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
778,3.03,28,95,75,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
779,3.97,25,87,74,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
780,3.12,27,96,72,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
781,3.14,26,94,58,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
782,2.83,20,61,54,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
783,3.15,27,90,76,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
784,3.88,22,87,64,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
785,3.37,27,90,99,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
786,2.18,24,76,81,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
787,3.11,20,91,77,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
788,4.0,27,61,55,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
789,3.47,18,96,84,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
790,3.25,23,88,86,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
791,3.16,26,93,63,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
792,3.4,22,63,56,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
793,2.04,26,73,63,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
794,3.0,23,95,92,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
795,2.01,28,83,98,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
796,3.78,25,71,58,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
797,3.46,26,91,67,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
798,2.36,28,83,68,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
799,2.14,28,78,89,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
800,3.82,29,94,81,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
801,3.23,22,88,86,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
802,3.52,22,89,77,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
803,2.86,23,67,86,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
804,3.61,25,66,90,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
805,3.68,20,68,67,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
806,3.37,19,88,84,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
807,2.19,23,71,84,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
808,3.61,20,94,77,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
809,3.45,28,63,72,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
810,3.57,24,62,71,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
811,3.39,29,85,52,Low,0,Not at risk,70-85%,2.5-3.5,Eligible,A (primary)
812,2.29,26,69,58,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
813,3.65,29,68,51,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
814,3.32,22,87,87,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
815,3.37,19,99,80,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
816,2.79,30,63,93,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
817,3.79,20,94,57,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
818,3.2,29,99,69,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
819,3.96,25,96,52,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
820,2.12,24,65,95,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
821,2.29,21,75,53,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
822,2.77,25,63,52,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
823,2.26,28,61,100,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
824,2.25,24,98,76,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
825,3.98,29,93,62,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
826,3.51,24,95,76,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
827,3.53,18,90,61,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
828,3.03,27,69,92,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
829,3.61,20,65,95,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
830,2.42,20,71,70,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
831,3.41,26,86,84,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
832,2.59,21,70,92,High,1,At risk,50-70%,2.5-3.5,Eligible,A (primary)
833,3.21,23,96,54,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
834,2.54,29,62,81,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
835,3.04,20,93,58,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
836,3.72,29,94,75,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
837,2.91,29,69,98,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
838,3.29,18,88,63,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
839,2.33,27,79,54,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
840,3.98,21,91,55,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
841,2.46,22,63,63,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
842,2.46,19,96,56,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
843,3.96,18,95,75,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
844,3.4,21,90,79,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
845,3.66,20,91,77,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
846,2.03,20,71,90,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
847,2.91,21,70,66,High,1,At risk,50-70%,2.5-3.5,Eligible,A (primary)
848,3.62,30,96,87,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
849,2.09,25,61,91,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
850,3.25,29,92,98,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
851,3.85,20,88,74,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
852,2.41,29,74,87,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
853,2.25,23,98,62,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
854,3.86,25,94,76,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
855,3.59,27,89,94,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
856,3.89,27,68,73,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
857,3.92,29,91,62,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
858,3.39,29,74,69,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
859,2.14,29,68,93,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
860,3.61,18,100,85,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
861,3.51,19,98,61,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
862,3.77,19,71,67,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
863,2.22,22,89,58,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
864,3.64,25,66,77,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
865,3.17,28,98,70,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
866,3.55,29,95,81,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
867,3.29,23,97,82,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
868,2.21,28,86,69,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
869,3.75,28,68,75,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
870,3.4,22,90,80,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
871,3.79,24,93,68,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
872,2.42,29,98,98,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
873,2.07,21,78,58,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
874,3.75,21,64,70,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
875,3.45,27,90,66,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
876,3.27,28,97,97,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
877,3.71,25,74,77,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
878,3.11,27,68,57,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
879,2.13,22,62,87,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
880,2.92,28,65,83,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
881,2.96,24,71,96,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
882,3.11,25,85,86,Low,0,Not at risk,70-85%,2.5-3.5,Eligible,A (primary)
883,3.73,22,87,75,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
884,2.88,28,63,92,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
885,2.1,27,60,95,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
886,3.0,22,94,57,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
887,3.65,20,92,94,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
888,3.9,19,87,83,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
889,3.19,28,98,63,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
890,3.16,22,85,58,Low,0,Not at risk,70-85%,2.5-3.5,Eligible,A (primary)
891,2.78,27,67,95,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
892,3.21,27,93,64,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
893,3.69,21,66,60,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
894,3.66,24,74,83,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
895,3.08,30,89,77,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
896,3.12,21,86,70,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
897,2.07,21,79,87,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
898,3.15,24,97,71,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
899,3.79,25,92,90,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
900,3.35,28,99,68,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
901,2.15,24,87,52,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
902,3.66,27,63,79,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
903,2.08,29,84,56,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
904,3.55,23,96,82,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
905,3.11,20,64,60,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
906,3.71,21,94,76,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
907,3.14,30,98,77,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
908,2.82,30,61,89,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
909,3.27,19,64,66,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
910,3.15,29,97,79,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
